event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,DAHLY ALI,UKR,RUAMTHAM SAKDA,THA,DAHLY ALI,WP 5:0,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,EL AIDOUNI HAMEZA,BEL,ABDURAIMOV AIDER,UKR,ABDURAIMOV AIDER,WP 5:0,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,CHINEA COLLAZOS BRANDON ALEJANDRO,ESP,SACHIN,IND,SACHIN,WP 5:0,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,MELKUMIAN GEORGES BENIK,LUX,RAKHIMOV FUZAYL,CAN,MELKUMIAN GEORGES BENIK,WP 3:2,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,DRYDEN JACK,ENG,MOLDASHEV DAULET,KAZ,DRYDEN JACK,WP 3:2,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Quarterfinals,,TEMIRZHANOV SERIK,KAZ,AL AHMADIEH KEOMA-ALI,CAN,AL AHMADIEH KEOMA-ALI,WP 3:2,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Quarterfinals,,MOHAMMED HUSSAM UDDIN,IND,DAHLY ALI,UKR,MOHAMMED HUSSAM UDDIN,WP 5:0,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Quarterfinals,,ABDURAIMOV AIDER,UKR,SACHIN,IND,SACHIN,WP 3:2,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Quarterfinals,,MELKUMIAN GEORGES BENIK,LUX,DRYDEN JACK,ENG,DRYDEN JACK,WP 5:0,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Semifinals,,AL AHMADIEH KEOMA-ALI,CAN,MOHAMMED HUSSAM UDDIN,IND,AL AHMADIEH KEOMA-ALI,WP 3:2,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Semifinals,,SACHIN,IND,DRYDEN JACK,ENG,SACHIN,WP 4:1,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Final,,AL AHMADIEH KEOMA-ALI,CAN,SACHIN,IND,SACHIN,WP 3:2,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,RAGA LEWAS JOAN MARCEL,ESP,,,RAGA LEWAS JOAN MARCEL,Bye,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,MONTEIRO MARCIO,CPV,PIDNUCH KHUNATIP,THA,PIDNUCH KHUNATIP,WP 5:0,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,GULIYEV RASUL,UKR,OUNAI MOHAMED,FRA,OUNAI MOHAMED,WP 4:1,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,TURNER JOE,ENG,YADAV ADITYA PRATAP,IND,TURNER JOE,WP 4:1,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,JAMWAL ABHINASH,IND,OSMAN QALID,DEN,JAMWAL ABHINASH,WP 5:0,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,TYMUR TSEBEN,POL,ALIEV ELVIN,UKR,ALIEV ELVIN,RSC R2,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,TOLTAYEV SANATALI,KAZ,LABRIE GABRIEL ALY,CAN,LABRIE GABRIEL ALY,WP 3:0,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Preliminaries,,TISAYEV RASUL,BEL,IBARRECHE CONDE OIER,ESP,IBARRECHE CONDE OIER,WP 5:0,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Quarterfinals,,RAGA LEWAS JOAN MARCEL,ESP,PIDNUCH KHUNATIP,THA,PIDNUCH KHUNATIP,WP 5:0,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Quarterfinals,,OUNAI MOHAMED,FRA,TURNER JOE,ENG,OUNAI MOHAMED,WP 4:1,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Quarterfinals,,JAMWAL ABHINASH,IND,ALIEV ELVIN,UKR,ALIEV ELVIN,WP 4:1,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Quarterfinals,,LABRIE GABRIEL ALY,CAN,IBARRECHE CONDE OIER,ESP,IBARRECHE CONDE OIER,WP 4:1,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Semifinals,,PIDNUCH KHUNATIP,THA,OUNAI MOHAMED,FRA,OUNAI MOHAMED,WO,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Semifinals,,ALIEV ELVIN,UKR,IBARRECHE CONDE OIER,ESP,ALIEV ELVIN,ABD R2,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65 kg),Final,,OUNAI MOHAMED,FRA,ALIEV ELVIN,UKR,ALIEV ELVIN,WO,SÀ. 7 FEB. 2026,As of line,45
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,FORMENTO SANTOS KALED,ESP,SANTORIELLO VINCENT,CAN,SANTORIELLO VINCENT,WP 4:1,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,BOS FINN,NED,HITESH,IND,HITESH,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,LOMAKIN MARK,UKR,MAYUOM KOUC,DEN,MAYUOM KOUC,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,MONTEIRO AILTON,CPV,SABYRKHAN TOREKHAN,KAZ,SABYRKHAN TOREKHAN,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,MURSAL NURBEK,KAZ,CHANSON WITTHAYA,THA,MURSAL NURBEK,RSC R3,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,KERR SONNY KEVIN,SCO,MATIAKUBOV BOZORBOI,UKR,MATIAKUBOV BOZORBOI,WP 3:2,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,DEEPAK,IND,AYITEVI HORNEL,BEL,DEEPAK,WP 4:1,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Preliminaries,,NANGEMO MODY,SWE,ROSALÉN PRIETO DAVID EDENÉL,ESP,ROSALÉN PRIETO DAVID EDENÉL,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Quarterfinals,,SANTORIELLO VINCENT,CAN,HITESH,IND,HITESH,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Quarterfinals,,MAYUOM KOUC,DEN,SABYRKHAN TOREKHAN,KAZ,SABYRKHAN TOREKHAN,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Quarterfinals,,MURSAL NURBEK,KAZ,MATIAKUBOV BOZORBOI,UKR,MURSAL NURBEK,WO,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Quarterfinals,,DEEPAK,IND,ROSALÉN PRIETO DAVID EDENÉL,ESP,DEEPAK,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Semifinals,,HITESH,IND,SABYRKHAN TOREKHAN,KAZ,SABYRKHAN TOREKHAN,WP 5:0,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Semifinals,,MURSAL NURBEK,KAZ,DEEPAK,IND,DEEPAK,RSC R1,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70 kg),Final,,SABYRKHAN TOREKHAN,KAZ,DEEPAK,IND,SABYRKHAN TOREKHAN,WP 4:1,SÁ. 7 FEB. 2026,As of line,46
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,NURSEITOV TIMUR,KAZ,,,NURSEITOV TIMUR,Bye,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,TAVARES ADMILSON,CPV,SHAW-TULLIN KYLE,ENG,SHAW-TULLIN KYLE,WP 5:0,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,AKASH AKASH,IND,,,AKASH AKASH,Bye,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,ZAKKHARCHENKO NIKITA,UKR,,,ZAKKHARCHENKO NIKITA,Bye,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,ZAKHARIEIEV YURII,UKR,,,ZAKHARIEIEV YURII,Bye,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,SALAS MANUEL BENI,BEL,GOMES JENARIO,NED,SALAS MANUEL BENI,WP 4:1,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,ZYGULA LUKASZ,POL,KONSBEKOV AMAN,KAZ,KONSBEKOV AMAN,WP 5:0,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Preliminaries,,EL QADMI HASSANA,FRA,,,EL QADMI HASSANA,Bye,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Quarterfinals,,NURSEITOV TIMUR,KAZ,SHAW-TULLIN KYLE,ENG,NURSEITOV TIMUR,WP 4:1,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Quarterfinals,,AKASH AKASH,IND,ZAKKHARCHENKO NIKITA,UKR,AKASH AKASH,WP 4:1,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Quarterfinals,,SAEZ CANERO JOSE LUIS,ESP,,,SAEZ CANERO JOSE LUIS,Bye,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Quarterfinals,,ZAKHARIEIEV YURII,UKR,SALAS MANUEL BENI,BEL,ZAKHARIEIEV YURII,WP 5:0,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Quarterfinals,,KONSBEKOV AMAN,KAZ,EL QADMI HASSANA,FRA,KONSBEKOV AMAN,WP 5:0,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Semifinals,,NURSEITOV TIMUR,KAZ,AKASH AKASH,IND,AKASH AKASH,WP 4:1,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Semifinals,,ZAKHARIEIEV YURII,UKR,KONSBEKOV AMAN,KAZ,KONSBEKOV AMAN,WP 4:0,SÁ. 7 FEB. 2026,As of line,47
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75 kg),Final,,AKASH AKASH,IND,KONSBEKOV AMAN,KAZ,AKASH AKASH,WP 3:2,SÁ. 7 FEB. 2026,As of line,47
