event,date,division,rank,name,country,date_raw,date_source,page
Commonwealth Games,2026-08-01,Men's 70kg,2,HOLLEY-SOTOMI Orlando,WAL,SAT 1 AUG 2026,As of line,54
Commonwealth Games,2026-08-01,Men's 70kg,3,KERR Sonny,SCO,SAT 1 AUG 2026,As of line,54
Commonwealth Games,2026-08-01,Men's 70kg,3,CLAIR Merven,MRI,SAT 1 AUG 2026,As of line,54
Commonwealth Games,2026-08-01,Men's 70kg,5,HIELD Carl,BAH,SAT 1 AUG 2026,As of line,54
Commonwealth Games,2026-08-01,Men's 70kg,5,THAI Refiloe,LES,SAT 1 AUG 2026,As of line,54
Commonwealth Games,2026-08-01,Men's 70kg,5,AH TONG Marion,SAM,SAT 1 AUG 2026,As of line,54
Commonwealth Games,2026-08-01,Men's 70kg,5,NETTEY Precious Akai,GHA,SAT 1 AUG 2026,As of line,54
Commonwealth Games,2026-08-01,Men's 80kg,1,ANKUSH Ankush,IND,SAT 1 AUG 2026,As of line,55
Commonwealth Games,2026-08-01,Men's 80kg,2,SHITTU Dimeji,ENG,SAT 1 AUG 2026,As of line,55
Commonwealth Games,2026-08-01,Men's 80kg,3,OFORI Joshua,CAN,SAT 1 AUG 2026,As of line,55
Commonwealth Games,2026-08-01,Men's 80kg,3,TRAINOR Paul,AUS,SAT 1 AUG 2026,As of line,55
Commonwealth Games,2026-08-01,Men's 80kg,5,MICOCK Jade,SEY,SAT 1 AUG 2026,As of line,55
Commonwealth Games,2026-08-01,Men's 80kg,5,OKAKA Robert,KEN,SAT 1 AUG 2026,As of line,55
Commonwealth Games,2026-08-01,Men's 80kg,5,PAPPOE Desmond,GHA,SAT 1 AUG 2026,As of line,55
Commonwealth Games,2026-08-01,Men's 80kg,5,PITT Daniel,WAL,SAT 1 AUG 2026,As of line,55
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,1,OKOH Isaac,ENG,SAT 1 AUG 2026,As of line,56
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,2,WILLIAMS Connor,WAL,SAT 1 AUG 2026,As of line,56
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,3,McNULTY Robert,SCO,SAT 1 AUG 2026,As of line,56
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,3,McALLISTER Garyn,NIR,SAT 1 AUG 2026,As of line,56
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,5,LAWSON Lachlan,AUS,SAT 1 AUG 2026,As of line,56
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,5,HOLO TUTAKITOA-WILLIAMS Duken,NIU,SAT 1 AUG 2026,As of line,56
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,5,POKHARIYA Kapil,IND,SAT 1 AUG 2026,As of line,56
commonwealth games GLASGOW 2026,2026-08-01,Men's 90kg,5,MUNTARI Jibril,GHA,SAT 1 AUG 2026,As of line,56
Commonwealth Games,2026-08-01,Men's 90+kg,1,THOMAS Damar,ENG,SAT 1 AUG 2026,As of line,57
Commonwealth Games,2026-08-01,Men's 90+kg,2,NARENDER Narender,IND,SAT 1 AUG 2026,As of line,57
Commonwealth Games,2026-08-01,Men's 90+kg,3,McCARTAN William John,NIR,SAT 1 AUG 2026,As of line,57
Commonwealth Games,2026-08-01,Men's 90+kg,3,PAUL Nigel,TTO,SAT 1 AUG 2026,As of line,57
